`torch_dtype` is deprecated! Use `dtype` instead!
labels[0][:40]: tensor([ 2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,  4339,
         1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,  1001,
         1001,  7899,  1024,  2272,  2039,  2007,  1037,  2516,  2008, 16636,
         2015,  1996,  3800,  1997,  1996,  3720,  1000,  1996,  5543,  1997])
unique labels: tensor([    0,   102,  1000,  1001,  1005,  1010,  1011,  1012,  1024,  1037,
         1041,  1055,  1996,  1997,  1998,  1999,  2000,  2001,  2003,  2004,
         2005,  2007,  2008,  2009,  2012,  2013,  2015,  2019,  2023,  2024,
         2025,  2028,  2029,  2030,  2031,  2035,  2037,  2038,  2039,  2048,
         2049,  2058,  2060,  2062,  2067,  2072,  2073,  2087,  2088,  2089,
         2090,  2096,  2104,  2105,  2107,  2109,  2111,  2115,  2124,  2137,
         2142,  2149,  2151,  2152,  2154,  2155,  2163,  2166,  2169,  2173,
         2174,  2195,  2219,  2220,  2229,  2236,  2272,  2284,  2287,  2296,
         2307,  2310,  2366,  2383,  2406,  2410,  2415,  2423,  2445,  2451,
         2515,  2516,  2519,  2542,  2554,  2555,  2556,  2563,  2576,  2579,
         2582,  2590,  2592,  2597,  2609,  2634,  2691,  2754,  2796,  2810,
         2833,  2839,  2903,  2907,  2917,  2928,  2945,  2962,  2964,  2969,
         2983,  3017,  3032,  3036,  3061,  3089,  3103,  3145,  3151,  3155,
         3167,  3226,  3265,  3297,  3330,  3350,  3351,  3365,  3373,  3412,
         3433,  3439,  3451,  3468,  3570,  3593,  3614,  3640,  3643,  3658,
         3669,  3716,  3720,  3760,  3761,  3800,  3811,  3853,  3904,  3961,
         3989,  4069,  4094,  4101,  4138,  4234,  4242,  4247,  4310,  4336,
         4339,  4348,  4487,  4506,  4676,  4693,  4697,  4708,  4824,  4861,
         4864,  5041,  5197,  5227,  5306,  5415,  5448,  5543,  5577,  5700,
         5731,  5750,  5966,  6072,  6078,  6104,  6123,  6197,  6235,  6386,
         6547,  6549,  6551,  6553,  6592,  6914,  7017,  7025,  7045,  7047,
         7484,  7519,  7539,  7560,  7570,  7578,  7680,  7784,  7849,  7897,
         7899,  7953,  7988,  8052,  8137,  8145,  8281,  8650,  8801,  8866,
         8887,  8906,  9029,  9197,  9363,  9692,  9945,  9958,  9970, 10074,
        10222, 10480, 10705, 11126, 11213, 11619, 11636, 11822, 11910, 11938,
        12035, 12139, 12151, 12519, 12560, 12571, 12739, 12846, 12961, 13155,
        13232, 13476, 13593, 14017, 14354, 14491, 15060, 15215, 15243, 15980,
        16112, 16209, 16636, 16941, 17045, 17136, 17246, 17568, 17617, 17975,
        19061, 19254, 21673, 21729, 21997, 22199, 22318, 22749, 23263, 23566,
        25691, 25835, 26389, 26935, 28123, 29217])
ignore_index in CE: -100
step=0000 | loss=9.762325 | lr=3.00e-07 | grad_norm=104.00 | mem_alloc=5304.7MB mem_peak=6560.9MB mem_reserved=6872.4MB
step=0001 | loss=9.603144 | lr=6.00e-07 | grad_norm=181.00 | mem_alloc=5305.2MB mem_peak=7333.4MB mem_reserved=7925.1MB
step=0002 | loss=9.843044 | lr=9.00e-07 | grad_norm=229.00 | mem_alloc=5305.8MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0003 | loss=10.198089 | lr=1.20e-06 | grad_norm=43.50 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0004 | loss=9.197625 | lr=1.50e-06 | grad_norm=210.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0005 | loss=10.014948 | lr=1.80e-06 | grad_norm=105.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0006 | loss=9.891682 | lr=2.10e-06 | grad_norm=158.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0007 | loss=9.871947 | lr=2.40e-06 | grad_norm=86.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0008 | loss=9.753773 | lr=2.70e-06 | grad_norm=118.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0009 | loss=9.699988 | lr=3.00e-06 | grad_norm=88.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0010 | loss=9.281889 | lr=3.30e-06 | grad_norm=127.50 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0011 | loss=8.218840 | lr=3.60e-06 | grad_norm=207.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0012 | loss=8.247017 | lr=3.90e-06 | grad_norm=206.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0013 | loss=7.284115 | lr=4.20e-06 | grad_norm=284.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0014 | loss=9.124169 | lr=4.50e-06 | grad_norm=100.50 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0015 | loss=9.267951 | lr=4.80e-06 | grad_norm=76.50 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0016 | loss=7.103915 | lr=5.10e-06 | grad_norm=198.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0017 | loss=4.937574 | lr=5.40e-06 | grad_norm=200.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0018 | loss=6.017186 | lr=5.70e-06 | grad_norm=103.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0019 | loss=9.419866 | lr=6.00e-06 | grad_norm=41.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0020 | loss=8.016185 | lr=6.30e-06 | grad_norm=32.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0021 | loss=8.356624 | lr=6.60e-06 | grad_norm=34.50 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0022 | loss=6.210156 | lr=6.90e-06 | grad_norm=24.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0023 | loss=6.294471 | lr=7.20e-06 | grad_norm=24.12 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0024 | loss=6.072587 | lr=7.50e-06 | grad_norm=21.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0025 | loss=4.229408 | lr=7.80e-06 | grad_norm=17.88 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0026 | loss=2.806795 | lr=8.10e-06 | grad_norm=14.81 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0027 | loss=5.106122 | lr=8.40e-06 | grad_norm=26.12 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0028 | loss=5.995620 | lr=8.70e-06 | grad_norm=23.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0029 | loss=7.243577 | lr=9.00e-06 | grad_norm=23.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0030 | loss=6.263964 | lr=9.30e-06 | grad_norm=28.88 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0031 | loss=4.657465 | lr=9.60e-06 | grad_norm=18.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0032 | loss=4.568107 | lr=9.90e-06 | grad_norm=25.38 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0033 | loss=7.511650 | lr=1.02e-05 | grad_norm=24.12 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0034 | loss=2.938891 | lr=1.05e-05 | grad_norm=17.25 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0035 | loss=5.261673 | lr=1.08e-05 | grad_norm=19.88 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0036 | loss=5.516939 | lr=1.11e-05 | grad_norm=16.88 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0037 | loss=7.147954 | lr=1.14e-05 | grad_norm=18.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0038 | loss=4.354785 | lr=1.17e-05 | grad_norm=25.38 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0039 | loss=1.804627 | lr=1.20e-05 | grad_norm=20.38 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0040 | loss=2.419988 | lr=1.23e-05 | grad_norm=21.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0041 | loss=4.218713 | lr=1.26e-05 | grad_norm=16.62 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0042 | loss=3.924069 | lr=1.29e-05 | grad_norm=13.38 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0043 | loss=2.383160 | lr=1.32e-05 | grad_norm=11.38 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0044 | loss=5.305571 | lr=1.35e-05 | grad_norm=15.25 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0045 | loss=3.926493 | lr=1.38e-05 | grad_norm=13.94 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0046 | loss=3.764354 | lr=1.41e-05 | grad_norm=13.88 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0047 | loss=3.276333 | lr=1.44e-05 | grad_norm=15.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0048 | loss=3.067499 | lr=1.47e-05 | grad_norm=9.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0049 | loss=1.722091 | lr=1.50e-05 | grad_norm=8.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0050 | loss=4.377103 | lr=1.53e-05 | grad_norm=14.31 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0051 | loss=2.481092 | lr=1.56e-05 | grad_norm=13.75 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0052 | loss=1.220920 | lr=1.59e-05 | grad_norm=9.50 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0053 | loss=5.776240 | lr=1.62e-05 | grad_norm=30.00 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0054 | loss=5.825585 | lr=1.65e-05 | grad_norm=23.88 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0055 | loss=4.000363 | lr=1.68e-05 | grad_norm=12.62 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0056 | loss=4.761220 | lr=1.71e-05 | grad_norm=14.25 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0057 | loss=4.037902 | lr=1.74e-05 | grad_norm=12.38 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0058 | loss=3.454872 | lr=1.77e-05 | grad_norm=11.25 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0059 | loss=3.759267 | lr=1.80e-05 | grad_norm=12.62 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0060 | loss=3.028745 | lr=1.83e-05 | grad_norm=11.19 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
step=0061 | loss=4.190879 | lr=1.86e-05 | grad_norm=10.62 | mem_alloc=5304.7MB mem_peak=7334.9MB mem_reserved=7925.1MB
