labels[0][:40]: tensor([  101,  2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,
         4339,  1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,
         1001,  1001,  7899,  1024,  2054,  2003,  9932,  9615,  1029,  1001,
         1001,  1001,  3433,  1024,  9932,  9615,  6523,  2000,  1996,  7191])
unique labels: tensor([    0,   101,   102,  1001,  1010,  1011,  1012,  1015,  1016,  1017,
         1018,  1019,  1024,  1029,  1037,  1039,  1996,  1997,  1998,  1999,
         2000,  2003,  2004,  2005,  2006,  2007,  2008,  2009,  2013,  2015,
         2019,  2022,  2023,  2024,  2025,  2027,  2028,  2029,  2031,  2033,
         2035,  2036,  2042,  2043,  2045,  2046,  2051,  2053,  2054,  2060,
         2062,  2064,  2066,  2070,  2074,  2076,  2086,  2087,  2088,  2089,
         2096,  2105,  2109,  2111,  2114,  2116,  2119,  2135,  2138,  2148,
         2164,  2166,  2167,  2210,  2229,  2247,  2256,  2275,  2300,  2307,
         2312,  2342,  2367,  2393,  2411,  2421,  2427,  2430,  2434,  2437,
         2453,  2458,  2468,  2478,  2500,  2507,  2529,  2530,  2536,  2540,
         2544,  2551,  2554,  2566,  2592,  2599,  2630,  2635,  2637,  2641,
         2659,  2682,  2724,  2742,  2765,  2779,  2789,  2832,  2833,  2855,
         2878,  2881,  2917,  2926,  2944,  2950,  2974,  3001,  3020,  3023,
         3066,  3111,  3171,  3247,  3278,  3295,  3302,  3325,  3378,  3391,
         3395,  3424,  3426,  3431,  3433,  3445,  3449,  3468,  3512,  3513,
         3522,  3534,  3565,  3582,  3613,  3625,  3652,  3698,  3748,  3785,
         3793,  3811,  3828,  3869,  3884,  3891,  3896,  3921,  3930,  3934,
         3935,  3947,  3971,  3980,  3989,  4010,  4013,  4022,  4083,  4094,
         4150,  4153,  4207,  4216,  4230,  4254,  4275,  4295,  4339,  4353,
         4359,  4411,  4454,  4456,  4526,  4610,  4633,  4655,  4677,  4685,
         4697,  4708,  4738,  4785,  4863,  4874,  5009,  5055,  5133,  5158,
         5227,  5237,  5300,  5380,  5418,  5450,  5461,  5577,  5676,  5936,
         6022,  6026,  6082,  6088,  6195,  6204,  6233,  6235,  6387,  6409,
         6481,  6523,  6666,  6827,  6867,  6976,  6981,  7060,  7191,  7461,
         7666,  7680,  7691,  7705,  7715,  7716,  7730,  7820,  7849,  7863,
         7899,  7976,  8010,  8015,  8122,  8335,  8524,  8553,  8699,  8830,
         8908,  8966,  9147,  9394,  9474,  9530,  9537,  9615,  9932,  9992,
        10101, 10250, 10388, 10416, 10813, 11160, 11594, 11636, 11917, 11993,
        12044, 12363, 12473, 12637, 12642, 12826, 12890, 12962, 13424, 13494,
        13511, 13792, 13827, 14567, 14670, 14734, 14876, 15189, 15428, 16189,
        16987, 17629, 17663, 17908, 18700, 18909, 19421, 20502, 20714, 20801,
        20968, 21425, 23217, 23263, 25011, 26332, 26743, 28123])
ignore_index in CE: -100
DEBUG single-step loss: 0.0
logits[0,0,:5]: tensor([-108.3071,  -84.1341,  -21.5419,  -33.3369,   37.2007],
       device='cuda:0')
step=0000 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20856.0MB mem_reserved=22552.8MB
step=0001 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16712.6MB mem_peak=20899.7MB mem_reserved=23056.1MB
step=0002 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0003 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0004 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0005 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0006 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0007 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0008 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0009 | loss=0.0000 | lr=5.00e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0010 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0011 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0012 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0013 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0014 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0015 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0016 | loss=0.0000 | lr=4.99e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0017 | loss=0.0000 | lr=4.98e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0018 | loss=0.0000 | lr=4.98e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23056.1MB
step=0019 | loss=0.0000 | lr=4.98e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23190.3MB
step=0020 | loss=0.0000 | lr=4.98e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23190.3MB
step=0021 | loss=0.0000 | lr=4.98e-05 | grad_norm=0.00 | mem_alloc=16713.4MB mem_peak=20900.5MB mem_reserved=23391.6MB
